date,amount_raw,amount,currency,operation,merchant,details,bank,source_file,category
2024-11-13,"- 17 000,00 KZT",-17000.0,KZT,Перевод,На Kaspi Депозит,На Kaspi Депозит,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-13,"+ 17 000,00 KZT",17000.0,KZT,Пополнение,С карты другого банка,С карты другого банка,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-13,"- 10,00 KZT",-10.0,KZT,Покупка,Zerde #201,Zerde #201,Kaspi Bank,gold_statement (2).pdf,покупки
2024-11-13,"- 23 000,00 KZT",-23000.0,KZT,Покупка,Zerde #201,Zerde #201,Kaspi Bank,gold_statement (2).pdf,покупки
2024-11-13,"+ 23 000,00 KZT",23000.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-13,"- 110,00 KZT",-110.0,KZT,Покупка,Avtobys. Оплата проезда по QR,Avtobys. Оплата проезда по QR,Kaspi Bank,gold_statement (2).pdf,транспорт
2024-11-13,"+ 110,00 KZT",110.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-13,"- 50 000,00 KZT",-50000.0,KZT,Перевод,На Kaspi Депозит,На Kaspi Депозит,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-13,"+ 50 000,00 KZT",50000.0,KZT,Пополнение,Анар К.,Анар К. - Сумма заблокирована. Банк ожидает подтверждения от платежной системы.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-13,"- 1 000,00 KZT",-1000.0,KZT,,Transfers Станислав Г.,Transfers Станислав Г.,Kaspi Bank,gold_statement (3).pdf,переводы
2024-11-13,"- 18 000,00 KZT",-18000.0,KZT,,Transfers Станислав Г.,Transfers Станислав Г.,Kaspi Bank,gold_statement (3).pdf,переводы
2024-11-13,"- 500,00 KZT",-500.0,KZT,,Transfers Дəулет Т.,Transfers Дəулет Т.,Kaspi Bank,gold_statement (3).pdf,переводы
2024-11-13,"- 4 010,00 KZT",-4010.0,KZT,,Transfers Мақсат Е.,Transfers Мақсат Е.,Kaspi Bank,gold_statement (3).pdf,переводы
2024-11-13,"- 8 496,00 KZT",-8496.0,KZT,,Purchases Ресторан Trattoria Highvill,Purchases Ресторан Trattoria Highvill - The amount is blocked. The bank expects the confirmation of the payment system.,Kaspi Bank,gold_statement (3).pdf,рестораны и кафе
2024-11-13,"- 1 000,00 KZT",-1000.0,KZT,,Transfers Саида О.,Transfers Саида О.,Kaspi Bank,gold_statement.pdf,переводы
2024-11-13,"- 1 444,00 KZT",-1444.0,KZT,,Purchases Magnum Cash&Carry,Purchases Magnum Cash&Carry - The amount is blocked. The bank expects the confirmation of the payment system.,Kaspi Bank,gold_statement.pdf,супермаркеты
2024-11-13,"- 2 000,00 KZT",-2000.0,KZT,Перевод,Алия А.,Алия А.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-13,"- 10 500,00 KZT",-10500.0,KZT,Перевод,Оплата Kaspi Кредита,Оплата Kaspi Кредита,Kaspi Bank,gold_statement_1.pdf,покупки
2024-11-13,"+ 2 000,00 KZT",2000.0,KZT,Пополнение,Алибек А.,Алибек А.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-13,"+ 8 000,00 KZT",8000.0,KZT,Пополнение,Бауыржан К.,Бауыржан К.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-13,"- 590,00 KZT",-590.0,KZT,Покупка,Magnum Cash&Carry,Magnum Cash&Carry,Kaspi Bank,gold_statement_1.pdf,супермаркеты
2024-11-13,"- 145,00 KZT",-145.0,KZT,Перевод,Оплата Kaspi Кредита,Оплата Kaspi Кредита,Kaspi Bank,gold_statement_1.pdf,покупки
2024-11-13,"- 13 313,00 KZT",-13313.0,KZT,Перевод,Оплата Kaspi Кредита,Оплата Kaspi Кредита,Kaspi Bank,gold_statement_1.pdf,покупки
2024-11-13,"+ 13 778,96 KZT",13778.96,KZT,Пополнение,Алмас Б.,Алмас Б. - Сумма заблокирована. Банк ожидает подтверждения от платежной системы.,Kaspi Bank,gold_statement_1.pdf,переводы
2024-11-14,"- 13 000,00 KZT",-13000.0,KZT,Перевод,Mukhammadjon A.,Mukhammadjon A.,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-14,"+ 13 000,00 KZT",13000.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-14,"- 3 510,00 KZT",-3510.0,KZT,Покупка,ИП Берсиновв,ИП Берсиновв,Kaspi Bank,gold_statement (2).pdf,покупки
2024-11-14,"+ 3 520,00 KZT",3520.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
2024-11-14,"- 1 500,00 KZT",-1500.0,KZT,Покупка,ИП Берсиновв,ИП Берсиновв,Kaspi Bank,gold_statement (2).pdf,покупки
2024-11-14,"+ 1 500,00 KZT",1500.0,KZT,Пополнение,С Kaspi Депозита,С Kaspi Депозита,Kaspi Bank,gold_statement (2).pdf,переводы
