date,amount_raw,amount,amount_abs,currency,operation,merchant,details,bank,source_file,category
2025-08-23,"-2,060.00 ₸",-2060.0,2060.0,KZT,Acquiring,YANDEX.GO,YANDEX.GO ALMATY KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,
2025-08-24,-640.00 ₸,-640.0,640.0,KZT,Acquiring,IP GLOBAL MANAGEMENT,IP GLOBAL MANAGEMENT ASTANA KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,
2025-08-25,-385.00 ₸,-385.0,385.0,KZT,Acquiring,IP GLOBAL MANAGEMENT,IP GLOBAL MANAGEMENT ASTANA KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,
2025-09-01,-350.00 ₸,-350.0,350.0,KZT,Acquiring,IP GLOBAL MANAGEMENT,IP GLOBAL MANAGEMENT ASTANA KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,
2025-09-01,"-1,910.00 ₸",-1910.0,1910.0,KZT,Acquiring,YANDEX.GO,YANDEX.GO ALMATY KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,
2025-09-01,"-2,230.00 ₸",-2230.0,2230.0,KZT,Acquiring,YANDEX.GO,YANDEX.GO ALMATY KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,
2025-09-01,-781.00 ₸,-781.0,781.0,KZT,Acquiring,MAGNUM.ASF46.KCO-2.,MAGNUM.ASF46.KCO-2. ASTANA KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,продукты
2025-09-01,"-26,300.00 ₸",-26300.0,26300.0,KZT,Acquiring,EXTAZ.KZ BOUTIQUE,EXTAZ.KZ BOUTIQUE ASTANA KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,
2025-09-01,"-6,000.00 ₸",-6000.0,6000.0,KZT,Transfer,,Лабакбай Болат Анварұлы Безвозмездный перевод,Freedom Bank Kazakhstan,freedom_ru.pdf,переводы
2025-09-01,"-40,000.00 ₸",-40000.0,40000.0,KZT,Transfer,,Перевод с карты на карту,Freedom Bank Kazakhstan,freedom_ru.pdf,переводы
