date,amount_raw,amount,currency,operation,merchant,details,bank,source_file
2024-11-13,"- 1 000,00 KZT",-1000.0,KZT,Transfers,,Саида О.,Kaspi Bank,kaspi_en.pdf
2024-11-13,"- 1 444,00 KZT",-1444.0,KZT,Purchases,Magnum Cash&Carry,Magnum Cash&Carry - The amount is blocked. The bank expects the confirmation of the payment system.,Kaspi Bank,kaspi_en.pdf
2024-11-14,"- 4 300,00 KZT",-4300.0,KZT,Transfers,,Айым Ш.,Kaspi Bank,kaspi_en.pdf
2024-11-15,"- 1 190,00 KZT",-1190.0,KZT,Purchases,Сенсата парк,Сенсата парк,Kaspi Bank,kaspi_en.pdf
2024-11-16,"- 1 360,00 KZT",-1360.0,KZT,Purchases,Апельсин,Апельсин,Kaspi Bank,kaspi_en.pdf
2024-11-17,"- 2 830,00 KZT",-2830.0,KZT,Purchases,продукты,продукты,Kaspi Bank,kaspi_en.pdf
2024-11-18,"- 1 130,00 KZT",-1130.0,KZT,Purchases,Апельсин,Апельсин,Kaspi Bank,kaspi_en.pdf
2024-11-18,"+ 800,00 KZT",800.0,KZT,Replenishment,,Аяулым М.,Kaspi Bank,kaspi_en.pdf
2024-11-18,"- 1 400,00 KZT",-1400.0,KZT,Purchases,Green Food,Green Food,Kaspi Bank,kaspi_en.pdf
2024-11-18,"- 800,00 KZT",-800.0,KZT,Purchases,Green Food,Green Food,Kaspi Bank,kaspi_en.pdf
2024-11-18,"- 2 314,00 KZT",-2314.0,KZT,Purchases,Magnum Cash&Carry,Magnum Cash&Carry,Kaspi Bank,kaspi_en.pdf
2024-11-19,"- 4 028,00 KZT",-4028.0,KZT,Purchases,YANDEX.EDA,YANDEX.EDA,Kaspi Bank,kaspi_en.pdf
2024-11-19,"- 7 000,00 KZT",-7000.0,KZT,Transfers,,Макпал Т.,Kaspi Bank,kaspi_en.pdf
2024-11-19,"- 550,00 KZT",-550.0,KZT,Purchases,Green Food,Green Food,Kaspi Bank,kaspi_en.pdf
2024-11-19,"- 1 800,00 KZT",-1800.0,KZT,Purchases,Green Food,Green Food,Kaspi Bank,kaspi_en.pdf
2024-11-20,"- 20 000,00 KZT",-20000.0,KZT,Purchases,KazInterstaff,KazInterstaff,Kaspi Bank,kaspi_en.pdf
2024-11-21,"- 990,00 KZT",-990.0,KZT,Purchases,ИП Берсиновв,ИП Берсиновв,Kaspi Bank,kaspi_en.pdf
2024-11-21,"+ 3 000,00 KZT",3000.0,KZT,Replenishment,,Рауан А.,Kaspi Bank,kaspi_en.pdf
2024-11-21,"- 1 300,00 KZT",-1300.0,KZT,Transfers,,Алибек М.,Kaspi Bank,kaspi_en.pdf
2024-11-22,"- 800,00 KZT",-800.0,KZT,Purchases,YANDEX.GO,YANDEX.GO,Kaspi Bank,kaspi_en.pdf
2024-11-23,"- 490,77 KZT",-490.77,KZT,Purchases,Парковка. ТРЦ Keruen,Парковка. ТРЦ Keruen,Kaspi Bank,kaspi_en.pdf
2024-11-23,"- 5 800,00 KZT",-5800.0,KZT,Transfers,,Рауан А.,Kaspi Bank,kaspi_en.pdf
2024-11-23,"- 4 500,00 KZT",-4500.0,KZT,Transfers,,Рауан А.,Kaspi Bank,kaspi_en.pdf
2024-11-23,"+ 47 000,00 KZT",47000.0,KZT,Replenishment,,From card of other banks,Kaspi Bank,kaspi_en.pdf
2024-11-24,"- 5 545,00 KZT",-5545.0,KZT,Purchases,продукты,продукты,Kaspi Bank,kaspi_en.pdf
2024-11-24,"- 31 878,00 KZT",-31878.0,KZT,Purchases,ТОО Kaspi Travel,ТОО Kaspi Travel,Kaspi Bank,kaspi_en.pdf
2024-11-24,"+ 38 000,00 KZT",38000.0,KZT,Replenishment,,From Kaspi Deposit,Kaspi Bank,kaspi_en.pdf
2024-11-24,"- 38 000,00 KZT",-38000.0,KZT,Transfers,,From Kaspi Deposit,Kaspi Bank,kaspi_en.pdf
2024-11-25,"+ 4 000,00 KZT",4000.0,KZT,Replenishment,,Айым Ш.,Kaspi Bank,kaspi_en.pdf
2024-11-25,"- 10 516,00 KZT",-10516.0,KZT,Transfers,,Жадыра К.,Kaspi Bank,kaspi_en.pdf
2024-11-25,"- 300,00 KZT",-300.0,KZT,Purchases,Парковка. ТРЦ Mega Silkway,Парковка. ТРЦ Mega Silkway,Kaspi Bank,kaspi_en.pdf
2024-11-25,"- 16 990,00 KZT",-16990.0,KZT,Purchases,Bershka,Bershka,Kaspi Bank,kaspi_en.pdf
2024-11-25,"+ 50 000,00 KZT",50000.0,KZT,Replenishment,,In the Kaspi Terminal,Kaspi Bank,kaspi_en.pdf
