date,amount_raw,amount,currency,operation,merchant,details,bank,source_file
2024-11-13,"- 17 000,00 KZT",-17000.0,KZT,Transfers,,На Kaspi Депозит,Kaspi Bank,kaspi_ru_2.pdf
2024-11-13,"+ 17 000,00 KZT",17000.0,KZT,Replenishment,,С карты другого банка,Kaspi Bank,kaspi_ru_2.pdf
2024-11-13,"- 10,00 KZT",-10.0,KZT,Purchases,Zerde #201,Zerde #201,Kaspi Bank,kaspi_ru_2.pdf
2024-11-13,"- 23 000,00 KZT",-23000.0,KZT,Purchases,Zerde #201,Zerde #201,Kaspi Bank,kaspi_ru_2.pdf
2024-11-13,"+ 23 000,00 KZT",23000.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-13,"- 110,00 KZT",-110.0,KZT,Purchases,Avtobys. Пригород. Оплата проезда по QR,Avtobys. Пригород. Оплата проезда по QR,Kaspi Bank,kaspi_ru_2.pdf
2024-11-13,"+ 110,00 KZT",110.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-13,"- 50 000,00 KZT",-50000.0,KZT,Transfers,,На Kaspi Депозит,Kaspi Bank,kaspi_ru_2.pdf
2024-11-13,"+ 50 000,00 KZT",50000.0,KZT,Replenishment,,Анар К. - Сумма заблокирована. Банк ожидает подтверждения от платежной системы.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-14,"- 13 000,00 KZT",-13000.0,KZT,Transfers,,Mukhammadjon A.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-14,"+ 13 000,00 KZT",13000.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-14,"- 3 510,00 KZT",-3510.0,KZT,Purchases,ИП Берсиновв,ИП Берсиновв,Kaspi Bank,kaspi_ru_2.pdf
2024-11-14,"+ 3 520,00 KZT",3520.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-14,"- 1 500,00 KZT",-1500.0,KZT,Purchases,ИП Берсиновв,ИП Берсиновв,Kaspi Bank,kaspi_ru_2.pdf
2024-11-14,"+ 1 500,00 KZT",1500.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-15,"- 935,00 KZT",-935.0,KZT,Purchases,ИП Берсиновв,ИП Берсиновв,Kaspi Bank,kaspi_ru_2.pdf
2024-11-15,"+ 1 000,00 KZT",1000.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-15,"- 150,00 KZT",-150.0,KZT,Purchases,Аппарат самообслуживания,Аппарат самообслуживания,Kaspi Bank,kaspi_ru_2.pdf
2024-11-15,"+ 150,00 KZT",150.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-15,"- 300,00 KZT",-300.0,KZT,Transfers,,Анель А.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-15,"+ 300,00 KZT",300.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-15,"- 250,00 KZT",-250.0,KZT,Purchases,Аппарат самообслуживания,Аппарат самообслуживания,Kaspi Bank,kaspi_ru_2.pdf
2024-11-15,"+ 200,00 KZT",200.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-15,"- 5 525,00 KZT",-5525.0,KZT,Purchases,AMIGOPIZZA.KZ,AMIGOPIZZA.KZ,Kaspi Bank,kaspi_ru_2.pdf
2024-11-15,"+ 5 500,00 KZT",5500.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-16,"- 110,00 KZT",-110.0,KZT,Purchases,Avtobys. Пригород. Оплата проезда по QR,Avtobys. Пригород. Оплата проезда по QR,Kaspi Bank,kaspi_ru_2.pdf
2024-11-16,"- 12 750,00 KZT",-12750.0,KZT,Purchases,Balgyn tort Astana,Balgyn tort Astana,Kaspi Bank,kaspi_ru_2.pdf
2024-11-16,"+ 13 000,00 KZT",13000.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-16,"- 2 000,00 KZT",-2000.0,KZT,Purchases,Боба Туркестан,Боба Туркестан,Kaspi Bank,kaspi_ru_2.pdf
2024-11-16,"+ 2 000,00 KZT",2000.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-16,"- 110,00 KZT",-110.0,KZT,Purchases,Avtobys. Пригород. Оплата проезда по QR,Avtobys. Пригород. Оплата проезда по QR,Kaspi Bank,kaspi_ru_2.pdf
2024-11-16,"+ 200,00 KZT",200.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-16,"- 20 000,00 KZT",-20000.0,KZT,Transfers,,На Kaspi Депозит,Kaspi Bank,kaspi_ru_2.pdf
2024-11-16,"+ 20 000,00 KZT",20000.0,KZT,Replenishment,,Умбигульсим А.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-16,"- 20 000,00 KZT",-20000.0,KZT,Transfers,,На Kaspi Депозит,Kaspi Bank,kaspi_ru_2.pdf
2024-11-16,"+ 10 000,00 KZT",10000.0,KZT,Replenishment,,Фатима А.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-16,"+ 10 000,00 KZT",10000.0,KZT,Replenishment,,Адина Б.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-16,"- 5 600,00 KZT",-5600.0,KZT,Purchases,Супермаркет GALMART,Супермаркет GALMART,Kaspi Bank,kaspi_ru_2.pdf
2024-11-16,"+ 5 600,00 KZT",5600.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-16,"- 75 000,00 KZT",-75000.0,KZT,Transfers,,На Kaspi Депозит,Kaspi Bank,kaspi_ru_2.pdf
2024-11-16,"+ 75 000,00 KZT",75000.0,KZT,Replenishment,,Айым Ш.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-17,"- 1 300,00 KZT",-1300.0,KZT,Transfers,,Меруерт А.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-17,"- 6 200,00 KZT",-6200.0,KZT,Transfers,,Батырхан Ш.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-17,"+ 7 000,00 KZT",7000.0,KZT,Replenishment,,Батырхан Ш.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-17,"- 7 222,00 KZT",-7222.0,KZT,Transfers,,Батырхан Ш.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-17,"+ 7 222,00 KZT",7222.0,KZT,Replenishment,,Батырхан Ш.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-17,"+ 800,00 KZT",800.0,KZT,Replenishment,,Асет Б.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-17,"- 3 220,00 KZT",-3220.0,KZT,Purchases,YANDEX.GO,YANDEX.GO,Kaspi Bank,kaspi_ru_2.pdf
2024-11-17,"+ 3 000,00 KZT",3000.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-17,"- 65 267,00 KZT",-65267.0,KZT,Purchases,ИП TezMart,ИП TezMart,Kaspi Bank,kaspi_ru_2.pdf
2024-11-17,"+ 65 500,00 KZT",65500.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-17,"- 1 970,00 KZT",-1970.0,KZT,Purchases,YANDEX.GO,YANDEX.GO,Kaspi Bank,kaspi_ru_2.pdf
2024-11-17,"+ 500,00 KZT",500.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-17,"- 4 797,00 KZT",-4797.0,KZT,Purchases,Magnum Cash&Carry,Magnum Cash&Carry,Kaspi Bank,kaspi_ru_2.pdf
2024-11-17,"+ 5 000,00 KZT",5000.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-17,"- 880,00 KZT",-880.0,KZT,Purchases,YANDEX.GO,YANDEX.GO,Kaspi Bank,kaspi_ru_2.pdf
2024-11-17,"+ 440,00 KZT",440.0,KZT,Replenishment,,Батырхан Ш.,Kaspi Bank,kaspi_ru_2.pdf
2024-11-17,"+ 900,00 KZT",900.0,KZT,Replenishment,,С Kaspi Депозита,Kaspi Bank,kaspi_ru_2.pdf
2024-11-17,"- 60,00 KZT",-60.0,KZT,Purchases,ИП Берсиновв,ИП Берсиновв,Kaspi Bank,kaspi_ru_2.pdf
