date,amount_raw,amount,amount_abs,currency,operation,details,bank,source_file,category,business_type,business_name,address,city,country,oked_code,oked_description
2025-08-23,"-2,060.00 ₸",-2060.0,2060.0,KZT,Acquiring,YANDEX.GO ALMATY KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,,,YANDEX GO,,ALMATY,KZ,ONLINE,Услуги такси и перевозок
2025-08-24,-640.00 ₸,-640.0,640.0,KZT,Acquiring,IP GLOBAL MANAGEMENT ASTANA KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,,IP,GLOBAL MANAGEMENT,,ASTANA,KZ,,"Предоставление прочих индивидуальных услуг, не включенных в другие группировки"
2025-09-01,-781.00 ₸,-781.0,781.0,KZT,Acquiring,MAGNUM.ASF46.KCO-2. ASTANA KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,продукты,,MAGNUM ASF46 KCO,,ASTANA,KZ,,"Оптовая торговля прочими непродовольственными товарами потребительского назначения, не включенными в другие группировки"
2025-09-01,"-26,300.00 ₸",-26300.0,26300.0,KZT,Acquiring,EXTAZ.KZ BOUTIQUE ASTANA KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,,,EXTAZ KZ BOUTIQUE,,ASTANA,KZ,,"Розничная торговля часами и ювелирными изделиями в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м"
2025-09-01,"-6,000.00 ₸",-6000.0,6000.0,KZT,Transfer,Лабакбай Болат Анварұлы Безвозмездный перевод,Freedom Bank Kazakhstan,freedom_ru.pdf,переводы,,,,,,,
2025-09-01,"-40,000.00 ₸",-40000.0,40000.0,KZT,Transfer,Перевод с карты на карту,Freedom Bank Kazakhstan,freedom_ru.pdf,переводы,,,,,,,
2025-09-02,-675.00 ₸,-675.0,675.0,KZT,Acquiring,IP BERSINOVA S.IM.B.MOMYSH KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,,IP,BERSINOVA S IM B MOMYSH,,,KZ,,Производство кухонной мебели
2025-09-03,"-1,400.00 ₸",-1400.0,1400.0,KZT,Acquiring,IP SUNNATOVA ASTANA KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,,IP,SUNNATOVA,,ASTANA,KZ,,"Деятельность ресторанов и предоставление услуг по доставке продуктов питания, за исключением деятельности объектов, находящихся на придорожной полосе"
2025-09-03,-570.00 ₸,-570.0,570.0,KZT,Acquiring,IP DANIYAROV A ASTANA KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,,IP,DANIYAROV A,,ASTANA,KZ,,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации
2025-09-03,"-12,840.00 ₸",-12840.0,12840.0,KZT,Payment,ТОО Ticketon Events Тикетон Евентс За оплату заказа Тикетон,Freedom Bank Kazakhstan,freedom_ru.pdf,,TOO,Ticketon Events Тикетон Евентс За оплату заказа Тикетон,,,,,
2025-09-03,"-1,550.00 ₸",-1550.0,1550.0,KZT,Acquiring,HEALTH PROJECT NUR-SULTAN KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,,,HEALTH PROJECT,,ASTANA,KZ,,"Деятельность ресторанов и предоставление услуг по доставке продуктов питания, за исключением деятельности объектов, находящихся на придорожной полосе"
2025-09-04,-520.00 ₸,-520.0,520.0,KZT,Acquiring,IP GREEN FOOD ASTANA KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,еда,IP,GREEN FOOD,,ASTANA,KZ,,Розничная торговля прочими товарами на рынках
2025-09-04,"-1,190.00 ₸",-1190.0,1190.0,KZT,Acquiring,IP SARSEN ASTANA KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,,IP,SARSEN,,ASTANA,KZ,,"Аренда (субаренда) и управление собственными или арендованными бизнес-центром, офисными помещениями, административным зданием"
2025-09-05,"-1,100.00 ₸",-1100.0,1100.0,KZT,Acquiring,IP MUKAZHANOVA NUR-SULTAN KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,,IP,MUKAZHANOVA,,ASTANA,KZ,,Деятельность в области разработки и тестирования программного кода
2025-09-06,-140.00 ₸,-140.0,140.0,KZT,Pending amount,TOO KIKIS MS NUR-SULTAN KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,,TOO,KIKIS MS,,ASTANA,KZ,,"Производство прочих пищевых продуктов, не включенных в другие группировки"
2025-09-06,-950.00 ₸,-950.0,950.0,KZT,Pending amount,HP CANTEEN NUR-SULTAN KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,,,HP CANTEEN,,ASTANA,KZ,,Рестораны и услуги по доставке продуктов питания
