date,amount_raw,amount,currency,operation,details,bank,source_file,amount_abs,business_type,business_name,address,city,country,oked_code,oked_description,category
2025-05-29,"-15,992.00 ₸",-15992.0,KZT,Acquiring,TOO GLASMAN TRADE 3 ASTANA,Freedom Bank Kazakhstan,freedom_en.pdf,15992.0,TOO,GLASMAN TRADE,,ASTANA,,,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,покупки
2025-05-29,"-14,036.00 ₸",-14036.0,KZT,Acquiring,MOLA COFFEE HOUSE ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,14036.0,,MOLA COFFEE HOUSE,,ASTANA,KZ,,Подача напитков,рестораны и кафе
2025-05-29,"-5,991.00 ₸",-5991.0,KZT,Acquiring,OUTFIT NUR-SULTAN KZ,Freedom Bank Kazakhstan,freedom_en.pdf,5991.0,,OUTFIT,,ASTANA,KZ,,"Розничная торговля одеждой, кроме трикотажных и чулочно-носочных изделий, в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",рестораны и кафе
2025-05-29,"-29,610.00 ₸",-29610.0,KZT,Acquiring,TOO UNIQLOAST ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,29610.0,TOO,UNIQLOAST,,ASTANA,KZ,,"Розничная торговля трикотажными и чулочно-носочными изделиями в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",покупки
2025-06-03,"-4,500.00 ₸",-4500.0,KZT,Acquiring,AITMEN BARBERSHOP ASTANA Q. KZ,Freedom Bank Kazakhstan,freedom_en.pdf,4500.0,,AITMEN BARBERSHOP,,ASTANA,KZ,,Предоставление услуг парикмахерскими и салонами красоты,покупки
2025-06-03,"-37,000.00 ₸",-37000.0,KZT,Transfer,Между своими счетами,Freedom Bank Kazakhstan,freedom_en.pdf,37000.0,,,,,,,,переводы
2025-06-07,"-3,080.00 ₸",-3080.0,KZT,Acquiring,IP BAYDYKANOV ASTANA KZ,Freedom Bank Kazakhstan,freedom_en.pdf,3080.0,IP,BAYDYKANOV,,ASTANA,KZ,,,покупки
2025-06-07,"-6,137.00 ₸",-6137.0,KZT,Acquiring,IP DINARA PAVLODAR KZ,Freedom Bank Kazakhstan,freedom_en.pdf,6137.0,IP,DINARA,,PAVLODAR,KZ,,Розничная торговля путем заказа товаров по почте или через сеть Интернет,покупки
2025-06-17,-20.00 $,-20.0,USD,Acquiring,CURSOR AI POWERED IDE 18314259504,Freedom Bank Kazakhstan,freedom_en.pdf,20.0,,CURSOR AI POWERED IDE,,,,ONLINE,Software development tool,переводы
2025-06-25,"-4,820.00 ₸",-4820.0,KZT,Acquiring,TOO K A A N,Freedom Bank Kazakhstan,freedom_en.pdf,4820.0,TOO,K A A N,,,,,Производство прочих изделий,покупки
2025-06-25,"-9,929.00 ₸",-9929.0,KZT,Payment,ТОО Aviata За оплату билета заказ 192433397,Freedom Bank Kazakhstan,freedom_en.pdf,9929.0,TOO,Aviata За оплату билета заказ,,,,,,покупки
2025-06-26,"-25,125.00 ₸",-25125.0,KZT,Acquiring,IP BUTYRSKAYA G.A. TARAZ KZ,Freedom Bank Kazakhstan,freedom_en.pdf,25125.0,IP,BUTYRSKAYA G A,,TARAZ,KZ,,,покупки
2025-07-02,"-1,450.00 ₸",-1450.0,KZT,Acquiring,IP GLOBAL TEAM TARAZ KZ,Freedom Bank Kazakhstan,freedom_en.pdf,1450.0,IP,GLOBAL TEAM,,TARAZ,KZ,,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,покупки
2025-07-04,-500.00 ₸,-500.0,KZT,Acquiring,IP KOSANOV ZHARYSH TARAZ KZ,Freedom Bank Kazakhstan,freedom_en.pdf,500.0,IP,KOSANOV ZHARYSH,,TARAZ,KZ,,Розничная торговля путем заказа товаров по почте или через сеть Интернет,покупки
2025-07-04,"-3,280.00 ₸",-3280.0,KZT,Acquiring,HALIL TARAZ KZ,Freedom Bank Kazakhstan,freedom_en.pdf,3280.0,,HALIL,,TARAZ,KZ,,Предоставление услуг парикмахерскими и салонами красоты,рестораны и кафе
2025-07-05,"-1,557.00 ₸",-1557.0,KZT,Acquiring,MAGNUM AF-13-KSO-1 ALMATY KZ,Freedom Bank Kazakhstan,freedom_en.pdf,1557.0,,MAGNUM AF 13-KSO,,ALMATY,KZ,,Деятельность грузового автомобильного транспорта,покупки
2025-07-05,-390.00 ₸,-390.0,KZT,Acquiring,TOO STREET FOOD ALMATY ALMATY,Freedom Bank Kazakhstan,freedom_en.pdf,390.0,TOO,STREET FOOD ALMATY,,ALMATY,,,Производство мороженого,покупки
2025-07-05,-120.00 ₸,-120.0,KZT,Acquiring,MOMYSHULY STATION 1 ALMATY KZ,Freedom Bank Kazakhstan,freedom_en.pdf,120.0,,MOMYSHULY STATION,,ALMATY,KZ,,"Предоставление прочих индивидуальных услуг, не включенных в другие группировки",покупки
2025-07-05,-300.00 ₸,-300.0,KZT,Acquiring,ONAY.KZ ALMATY KZ,Freedom Bank Kazakhstan,freedom_en.pdf,300.0,,ONAY,,ALMATY,KZ,,Прочая вспомогательная деятельность в области образования,покупки
2025-07-05,-120.00 ₸,-120.0,KZT,Acquiring,RAYMBEK STATION2 ALMATY KZ,Freedom Bank Kazakhstan,freedom_en.pdf,120.0,,RAYMBEK STATION2,,ALMATY,KZ,,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,покупки
2025-07-05,"-2,120.00 ₸",-2120.0,KZT,Acquiring,SHERBET ALMATY KZ,Freedom Bank Kazakhstan,freedom_en.pdf,2120.0,,SHERBET,,ALMATY,KZ,,"Деятельность ресторанов и предоставление услуг по доставке продуктов питания, за исключением деятельности объектов, находящихся на придорожной полосе",покупки
2025-07-07,"-2,900.00 ₸",-2900.0,KZT,Acquiring,ATA DONER CAFE ALMATY KZ,Freedom Bank Kazakhstan,freedom_en.pdf,2900.0,,ATA DONER CAFE,,ALMATY,KZ,,"Прочая деятельность по обеспечению питанием, не включенная в другие группировки",рестораны и кафе
