date,amount_raw,amount,currency,operation,details,bank,source_file,amount_abs,business_type,business_name,address,city,country,oked_code,oked_description,category
2025-09-01,"-1,910.00 ₸",-1910.0,KZT,Acquiring,YANDEX.GO ALMATY KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,1910.0,,YANDEX GO,,ALMATY,KZ,ONLINE,Услуги такси и перевозок,транспорт
2025-09-01,-781.00 ₸,-781.0,KZT,Acquiring,MAGNUM.ASF46.KCO-2. ASTANA KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,781.0,,MAGNUM ASF46 KCO,,ASTANA,KZ,,"Оптовая торговля прочими непродовольственными товарами потребительского назначения, не включенными в другие группировки",супермаркеты
2025-09-01,"-26,300.00 ₸",-26300.0,KZT,Acquiring,EXTAZ.KZ BOUTIQUE ASTANA KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,26300.0,,EXTAZ KZ BOUTIQUE,,ASTANA,KZ,,"Розничная торговля часами и ювелирными изделиями в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",рестораны и кафе
2025-09-01,"-6,000.00 ₸",-6000.0,KZT,Transfer,Лабакбай Болат Анварұлы Безвозмездный перевод,Freedom Bank Kazakhstan,freedom_ru.pdf,6000.0,,,,,,,,переводы
2025-09-03,"-1,400.00 ₸",-1400.0,KZT,Acquiring,IP SUNNATOVA ASTANA KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,1400.0,IP,SUNNATOVA,,ASTANA,KZ,,"Деятельность ресторанов и предоставление услуг по доставке продуктов питания, за исключением деятельности объектов, находящихся на придорожной полосе",покупки
2025-09-03,"-1,550.00 ₸",-1550.0,KZT,Acquiring,HEALTH PROJECT NUR-SULTAN KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,1550.0,,HEALTH PROJECT,,ASTANA,KZ,,"Деятельность ресторанов и предоставление услуг по доставке продуктов питания, за исключением деятельности объектов, находящихся на придорожной полосе",покупки
2025-09-04,"-1,190.00 ₸",-1190.0,KZT,Acquiring,IP SARSEN ASTANA KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,1190.0,IP,SARSEN,,ASTANA,KZ,,"Аренда (субаренда) и управление собственными или арендованными бизнес-центром, офисными помещениями, административным зданием",покупки
2025-09-04,-850.00 ₸,-850.0,KZT,Acquiring,IP GLOBAL MANAGEMENT ASTANA KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,850.0,IP,GLOBAL MANAGEMENT,,ASTANA,KZ,,"Предоставление прочих индивидуальных услуг, не включенных в другие группировки",покупки
2025-09-05,"-2,480.00 ₸",-2480.0,KZT,Acquiring,IP GREEN FOOD ASTANA KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,2480.0,IP,GREEN FOOD,,ASTANA,KZ,,Розничная торговля прочими товарами на рынках,покупки
2025-09-05,-845.00 ₸,-845.0,KZT,Acquiring,IP BERSINOVA S.IM.B.MOMYSH KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,845.0,IP,BERSINOVA S IM B MOMYSH,,,KZ,,Производство кухонной мебели,покупки
2025-09-05,"-1,100.00 ₸",-1100.0,KZT,Acquiring,IP MUKAZHANOVA NUR-SULTAN KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,1100.0,IP,MUKAZHANOVA,,ASTANA,KZ,,Деятельность в области разработки и тестирования программного кода,покупки
2025-09-05,"-3,000.00 ₸",-3000.0,KZT,Payment,ТОО Ticketon Events Тикетон Евентс За оплату заказа Тикетон,Freedom Bank Kazakhstan,freedom_ru.pdf,3000.0,TOO,Ticketon Events Тикетон Евентс За оплату заказа Тикетон,,,,,,покупки
2025-09-06,-140.00 ₸,-140.0,KZT,Pending amount,TOO KIKIS MS NUR-SULTAN KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,140.0,TOO,KIKIS MS,,ASTANA,KZ,,"Производство прочих пищевых продуктов, не включенных в другие группировки",покупки
2025-09-06,-570.00 ₸,-570.0,KZT,Pending amount,IP DANIYAROV A ASTANA KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,570.0,IP,DANIYAROV A,,ASTANA,KZ,,Оптовая торговля широким ассортиментом товаров без какой-либо конкретизации,покупки
2025-09-06,-950.00 ₸,-950.0,KZT,Pending amount,HP CANTEEN NUR-SULTAN KZ,Freedom Bank Kazakhstan,freedom_ru.pdf,950.0,,HP CANTEEN,,ASTANA,KZ,,Рестораны и услуги по доставке продуктов питания,рестораны и кафе
2025-09-07,"-15,000.00 ₸",-15000.0,KZT,Pending amount,Перевод с карты на карту,Freedom Bank Kazakhstan,freedom_ru.pdf,15000.0,,Перевод с карты на карту,,,,,,покупки
